,index,event_id,date_of_event,household_id,person_id,event_type_id,event_counter,event_score,date_of_previous_event,created_by,timestamp_created,is_void,sync_id
22,22,525e0681-519f-4851-a64d-4b843f8012f6,2022-09-12,29d199db-2f32-4025-bb9b-94357558550b,4282807, , , , , , , ,516eec30-b56a-4ab3-8852-9a5e3afb2414
23,23,0a931381-51dc-4f66-b3ab-33506f1e4676,2023-01-16,208f8309-75ac-409c-a010-435b28503dd6,4460015, , , , , , , ,f45b8526-6259-4e30-8fe6-381fb25e9f7c
24,24,0b1527f0-e736-4905-8cab-0aba078cf702,2023-01-16,208f8309-75ac-409c-a010-435b28503dd6,4460015, , , , , , , ,f3e7c9ad-f455-4151-bbf8-78eaf2720d84
25,25,616318b4-49bc-417d-bf07-445eda5cd297,2023-01-16,208f8309-75ac-409c-a010-435b28503dd6,4460015, , , , , , , ,6d117af1-c502-457a-9208-ec749a64712c
26,26,93f22345-65f4-40f3-b313-9bb4e767ecf0,2023-01-16,208f8309-75ac-409c-a010-435b28503dd6,4460015, , , , , , , ,1be06c85-fd82-48d9-a29b-5901c3e92287
27,27,bb8ac7ac-6542-4692-8a64-670a43f35d62,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,3372069, , , , , , , ,7d4b304f-0bd8-4ad3-a83c-96fe19138a63
28,28,a1a83a27-9c08-413b-8a40-b41574b52a64,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1044074, , , , , , , ,679a88bd-3b6b-49c5-beb7-5620ef3db330
29,29,3fbdc852-cf12-4460-a336-456599643d1b,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,3372069, , , , , , , ,4f7094ea-54b4-4127-af9e-c4ff239f9bf3
30,30,f2d69157-ec85-496e-bdff-a33c0f738853,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1041285, , , , , , , ,997682fd-37d7-407c-b694-22ae3c37b473
31,31,95fc88d5-a1e7-4a43-9742-3749b7404d68,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1042659, , , , , , , ,7dacd355-0b2d-46bb-a546-4fc60749c4e2
32,32,f01a1dbb-9eca-4aaa-b29b-8475ec5a1078,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1043909, , , , , , , ,5525ac63-753a-433a-b048-a2486cc9aaf6
33,33,cb1cdb46-0652-4c8c-967b-d5d5a164f755,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1044074, , , , , , , ,8f55fea9-ee76-4710-bab4-63bff743411e
34,34,7867f9f8-4525-4fb3-abd3-a04215303ae3,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,3372069, , , , , , , ,0ecb6807-fa57-40d4-90cb-9506e757f3f5
35,35,afc46e2a-9f5d-431e-b995-5166b8945851,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1041285, , , , , , , ,be201780-3539-4896-8eb2-997f8317dbdd
36,36,a90c6650-e6ba-495a-91e6-dcaf38c71a43,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1042659, , , , , , , ,5570acf5-5578-4d18-b2da-4d18600fb3a9
37,37,405896d5-d9a6-429a-b376-02733d0b6d16,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1043909, , , , , , , ,0d508905-592d-4462-8b2d-4e181fcc8663
38,38,3408f413-30e6-4619-a277-daf109782dc0,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1044074, , , , , , , ,f9408a27-24a8-4906-91e2-d06c5971aefb
39,39,3a12b1f3-86ac-4bbf-a77f-d9641f3defaa,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1041285, , , , , , , ,f8885518-d20d-42fb-bfde-4286d164547a
40,40,8a053165-537c-4b94-b40a-ff013590c3ae,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1042659, , , , , , , ,51f4ebb9-5000-4e7a-89bd-97ec8924000f
41,41,f616ecae-627e-420f-a78a-b38e4b7fe961,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1043909, , , , , , , ,c47a7599-2acf-4298-bf91-7a439b32e568
42,42,460e2ed1-c818-4cf3-9335-632295fc1647,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1041285, , , , , , , ,ffc07161-ce32-46da-b24e-f50da3cbfdee
43,43,d3eba4f0-2678-43c9-8b10-a62b8deef57f,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1042659, , , , , , , ,1730f6cf-2fed-498f-83e9-f5ef384a1587
44,44,091fcd6b-4448-4ada-9591-77ea2b7096be,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1043909, , , , , , , ,e572517a-5e6c-4bd4-9e45-a7cd152b9634
45,45,cce2f96c-9b52-43a6-97f3-068e07e892e4,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1044074, , , , , , , ,64837016-8fe3-41b3-9975-e1223678b13e
46,46,228624b9-b861-405e-9c08-a968ff4aab10,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1041285, , , , , , , ,c6b50593-da05-482c-acee-809dce517272
47,47,74d63a95-b13e-4ebd-88ef-aa2481a1c08d,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1042659, , , , , , , ,aa4227c6-2741-410d-9686-7bc90561f235
48,48,04f21dbd-7ead-4ee8-8f48-60ba9de68498,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1043909, , , , , , , ,5d5ce897-008c-4ee2-86a3-66ededdf829e
49,49,650ee910-32af-478c-b732-1cd6a95e3d54,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1044074, , , , , , , ,ddc97186-a06b-4bdb-ad0e-2b7910eed2ee
50,50,8c44c2e5-f52d-46de-829d-e6f14f859036,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,3372069, , , , , , , ,913438fe-7feb-4645-bb2d-dfae22753c5d
51,51,f5350f23-95c4-48bb-9ac3-eb38a027702f,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,3372069, , , , , , , ,2bc1b7f1-de0d-4889-8dde-05583659debb
52,52,524fef87-8a72-4432-82be-3eb289be1254,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1041285, , , , , , , ,b9dc5dd5-43e9-4acd-b9e0-1563416bcd7c
53,53,01d2f51b-07d9-4ccc-8a84-351bba8489a8,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1042659, , , , , , , ,33f92a6b-f0aa-489d-97c0-5f2f861f1aca
54,54,418e6e08-2a3e-42e9-b3e1-339048b7683b,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1043909, , , , , , , ,67b8ced2-2047-4b19-b410-20f7add0a538
55,55,37f01824-c998-4062-9969-886471668cfc,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1044074, , , , , , , ,776c9fb6-f0e9-4231-84bd-15d05cda93ab
56,56,1aba9012-6fcc-4c16-acbc-c5b932014bae,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,3372069, , , , , , , ,1f2fb56d-2d12-43a6-b4c3-256f1665d816
57,57,afedadc2-84f2-4dcf-8a4e-e55db96bdc9c,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1041285, , , , , , , ,63336db6-6533-428e-96a1-322c858f198c
58,58,eb1d57c9-a3e0-4de2-b861-d5f1bd5bcdba,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1042659, , , , , , , ,0456a4cf-bc8f-4398-992e-705f5ad92fa2
59,59,0deed122-580b-490b-bb36-7987edf9cf9c,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1043909, , , , , , , ,012cdec6-23da-41d9-9e3c-93c64beb2804
60,60,d50d78ab-bc4b-4e5c-b27a-a5aaa9cbd26b,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1044074, , , , , , , ,ae518fbd-325e-49ec-a9d8-01024ff02a8e
61,61,9f74fcdc-97ea-45c3-be7d-b9dbf96bbf55,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1041285, , , , , , , ,637ccb97-8114-4f50-a4c9-ea3cf422a92f
62,62,7e49bbcb-a6f3-486a-9057-b59c60ac1703,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1042659, , , , , , , ,3df4b927-9bbb-41ac-801b-4679475af2d1
63,63,bd694001-a623-4f4c-a9e2-130bcea10c6d,2022-08-28,81a926fb-8c0e-4e01-9b31-61adb72a22f0,1043909, , , , , , , ,15014b37-f057-4239-935d-08b2d7d4d9c3
64,64,de864518-512a-4a01-a407-221bf6c3e07c,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1039848, , , , , , , ,8b5a88b8-d30e-4e7a-aef2-df45c24c07e1
65,65,d7f45e11-f3b9-4662-9468-9907f85a58ef,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1044191, , , , , , , ,c63f6019-ee4b-4eb6-92ef-6eaf09cb4c49
66,66,f96ca2b7-a146-4ad4-9c30-dbceb7332f3f,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1039848, , , , , , , ,e76a094f-a6dd-4346-a070-d2f80de06773
67,67,d2f694cb-1477-423d-b350-aefb45ba7550,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1044191, , , , , , , ,a3e15374-8a97-432f-aeaf-06938bc42471
