caregiver_id,person_id
105151.0,805
446009.0,140
1031812.0,1295
1031905.0,560
1031908.0,805
1031932.0,770
1031972.0,280
1031988.0,560
1031990.0,525
1031996.0,245
1032000.0,735
1032031.0,490
1032055.0,560
1032062.0,1960
1032073.0,840
1032074.0,770
1032078.0,1365
1032083.0,280
1032131.0,980
1032189.0,280
1032192.0,560
1032207.0,560
1032213.0,560
1032227.0,1680
1032232.0,280
1032233.0,770
1032240.0,840
1032249.0,280
1032251.0,840
1032252.0,1085
1032277.0,945
1032278.0,280
1032282.0,595
1032298.0,525
1032305.0,455
1032308.0,840
1032314.0,1330
1032317.0,525
1032321.0,560
1032335.0,280
1032368.0,525
1032377.0,420
1032381.0,280
1032387.0,280
1032392.0,560
1032401.0,595
1032433.0,1610
1032434.0,280
1032459.0,1225
1032473.0,280
1032484.0,595
1032486.0,1015
1032499.0,525
1032508.0,280
1032516.0,245
1032519.0,280
1032539.0,560
1032544.0,1365
1032563.0,1610
1032569.0,280
1032582.0,560
1032606.0,945
1032622.0,280
1032671.0,280
1032678.0,280
1032688.0,1050
1032692.0,840
1032697.0,735
1032710.0,525
1032711.0,910
1032717.0,280
1032724.0,1015
1032743.0,280
1032768.0,665
1040559.0,770
1042197.0,280
1045320.0,770
1045428.0,770
1045467.0,560
1045478.0,280
1045488.0,280
1045521.0,770
1045550.0,280
1045554.0,805
1045568.0,315
1045569.0,280
1045573.0,560
1045599.0,280
1045644.0,280
1045716.0,490
1045724.0,525
1045726.0,455
1045765.0,280
1045768.0,560
1045771.0,280
1045797.0,280
1045805.0,560
1045809.0,210
1045835.0,560
1045869.0,280
1045878.0,560
1045882.0,525
1045892.0,490
1045895.0,840
1045904.0,280
1045907.0,1120
1045942.0,280
1045977.0,1295
1046017.0,840
1046020.0,1295
1046035.0,840
1046109.0,1085
1046176.0,1120
1046183.0,490
1046190.0,560
1046191.0,560
1046202.0,560
1046234.0,1225
1046240.0,280
1046244.0,630
1046260.0,280
1046265.0,1085
1046268.0,280
1046332.0,280
1046343.0,280
1046357.0,525
1046426.0,980
1046442.0,560
1046455.0,840
1046510.0,2240
1046513.0,1435
1046544.0,700
1046660.0,700
1046662.0,840
1046667.0,280
1046670.0,140
1046672.0,700
1046695.0,280
1046703.0,805
1046718.0,280
1046731.0,1225
1046752.0,280
1046788.0,280
1046791.0,280
1046816.0,560
1046827.0,280
1046828.0,280
1046843.0,1225
1046849.0,280
1046851.0,280
1046862.0,1365
1046869.0,595
1046879.0,560
1046880.0,840
1046891.0,280
1046897.0,1120
1046900.0,560
1046913.0,280
1046958.0,280
1046996.0,560
1047034.0,245
1047039.0,840
1047064.0,910
1047066.0,560
1047082.0,595
1047107.0,805
1047113.0,595
1047129.0,840
1047159.0,280
1047212.0,1120
1047278.0,840
1047295.0,420
1047298.0,1085
1047328.0,280
1047336.0,280
1047348.0,1400
1047439.0,490
1047481.0,525
1047494.0,280
1047495.0,560
1047523.0,525
1047526.0,770
1047530.0,840
1047548.0,560
1047556.0,1575
1047590.0,1400
1047597.0,770
1047615.0,770
1047628.0,735
1047637.0,280
1047640.0,560
1047641.0,245
1047657.0,840
1047658.0,280
1047659.0,1015
1047665.0,280
1047677.0,525
1047681.0,1680
1047696.0,350
1047706.0,1260
1047716.0,1260
1047717.0,1260
1047724.0,560
1047736.0,1750
1047747.0,735
1047749.0,770
1047771.0,595
1047772.0,1085
1047807.0,840
1047809.0,595
1047814.0,1295
1047827.0,1155
1047830.0,805
1047834.0,560
1047860.0,245
1047868.0,280
1047874.0,1120
1047877.0,1015
1047889.0,560
1047892.0,490
1047894.0,560
1047896.0,525
1047912.0,560
1047915.0,210
1047919.0,280
1047922.0,245
1047925.0,490
1047928.0,805
1047931.0,1435
1047934.0,280
1047935.0,1995
1047940.0,490
1047944.0,280
1047948.0,280
1047953.0,1400
1047957.0,175
1047958.0,665
1047968.0,560
1047978.0,910
1047980.0,875
1047988.0,280
1047997.0,805
1048003.0,525
1048009.0,560
1048019.0,805
1048025.0,525
1048036.0,560
1048039.0,280
1048043.0,280
1048044.0,560
1048047.0,560
1048049.0,140
1048050.0,665
1048064.0,805
1048079.0,1330
1048082.0,805
1048086.0,560
1048104.0,560
1048114.0,560
1048123.0,245
1048133.0,560
1048141.0,560
1048142.0,875
1048147.0,560
1048182.0,700
1048184.0,560
1048190.0,525
1048193.0,560
1048222.0,1365
1048225.0,910
1048240.0,560
1048247.0,560
1048255.0,1365
1048256.0,560
1048280.0,245
1048285.0,910
1048287.0,700
1048298.0,1155
1048300.0,840
1048312.0,560
1048314.0,350
1048317.0,280
1048321.0,525
1048323.0,560
1048325.0,280
1048332.0,560
1048346.0,980
1048351.0,490
1048357.0,525
1048363.0,560
1048377.0,525
1048382.0,245
1048385.0,490
1048392.0,630
1048427.0,840
1048437.0,245
1048448.0,1225
1048458.0,280
1048468.0,560
1048496.0,840
1048501.0,280
1048503.0,805
1048509.0,560
1048525.0,1400
1048526.0,840
1048531.0,525
1048536.0,1470
1048544.0,280
1048548.0,805
1048576.0,560
1048584.0,630
1048585.0,630
1048591.0,875
1048613.0,1120
1048618.0,1785
1048633.0,280
1048646.0,840
1048647.0,210
1048653.0,560
1048668.0,1925
1048670.0,560
1048673.0,1085
1048676.0,385
1048691.0,280
1048693.0,840
1048718.0,1085
1048725.0,840
1048729.0,1155
1048732.0,1050
1048738.0,560
1048745.0,280
1048746.0,840
1048749.0,770
1048777.0,1225
1048782.0,560
1048794.0,1890
1048797.0,910
1048799.0,840
1048802.0,1435
1048808.0,1540
1048810.0,280
1048817.0,595
1048831.0,1575
1048851.0,735
1048854.0,280
1048889.0,595
1048901.0,280
1048906.0,525
1048907.0,805
1048921.0,1015
1048924.0,1050
1048928.0,1050
1048942.0,525
1048945.0,560
1048947.0,525
1048952.0,525
1048955.0,525
1048975.0,805
1048981.0,735
1048982.0,560
1048988.0,1085
1048991.0,840
1049021.0,1120
1049028.0,245
1049033.0,560
1049037.0,980
1049041.0,770
1049068.0,280
1049069.0,700
1049076.0,770
1049081.0,735
1049090.0,595
1049093.0,1050
1049108.0,840
1049122.0,700
1049123.0,1015
1049130.0,280
1049133.0,420
1049144.0,280
1049145.0,840
1049149.0,280
1049158.0,280
1049181.0,315
1049183.0,560
1049184.0,525
1049197.0,560
1049211.0,1645
1049245.0,1085
1049247.0,1190
1049265.0,560
1049268.0,560
1049292.0,280
1049303.0,280
1049305.0,805
1049313.0,280
1049316.0,1155
1049326.0,490
1049332.0,1085
1049336.0,1470
1049341.0,560
1049350.0,1120
1049359.0,1365
1049385.0,280
1049400.0,1260
1049411.0,280
1049447.0,840
1049451.0,1155
1049496.0,560
1049523.0,280
1049524.0,280
1049525.0,1610
1049528.0,560
1049540.0,1610
1049558.0,770
1049562.0,735
1049566.0,1365
1049573.0,630
1049577.0,560
1049592.0,910
1049604.0,245
1049607.0,875
1049614.0,280
1049617.0,280
1049623.0,280
1049626.0,280
1049633.0,280
1049670.0,770
1049676.0,525
1049698.0,280
1049707.0,1260
1049714.0,560
1049720.0,280
1049726.0,490
1049737.0,875
1049738.0,1890
1049744.0,560
1049748.0,1225
1049749.0,280
1049751.0,1120
1049753.0,280
1049754.0,910
1049757.0,560
1049768.0,1085
1049773.0,1260
1049774.0,1085
1049776.0,630
1049779.0,665
1049793.0,805
1049797.0,280
1049798.0,280
1049805.0,1120
1049813.0,560
1049815.0,525
1049823.0,1890
1049833.0,665
1049893.0,525
1049920.0,560
1049958.0,840
1049961.0,280
1049967.0,560
1049971.0,1365
1049998.0,1120
1050013.0,280
1050019.0,210
1050022.0,840
1050050.0,280
1050054.0,280
1050057.0,770
1050074.0,735
1050085.0,560
1050089.0,700
1050105.0,1575
1050115.0,280
1050116.0,665
1050124.0,560
1050132.0,770
1050160.0,1085
1050162.0,280
1050170.0,280
1050172.0,490
1050177.0,840
1050181.0,560
1050187.0,840
1050211.0,840
1050214.0,840
1050219.0,840
1050222.0,280
1050225.0,805
1050228.0,595
1050237.0,840
1050247.0,1540
1050327.0,560
1050338.0,805
1050358.0,280
1050366.0,1050
1050371.0,280
1050372.0,840
1050373.0,490
1050380.0,840
1050394.0,280
1050395.0,1050
1050406.0,280
1050463.0,770
1050472.0,560
1050482.0,280
1050490.0,280
1050495.0,280
1050515.0,700
1050520.0,1050
1050557.0,280
1050559.0,525
1050567.0,210
1050590.0,1680
1050683.0,280
1050703.0,280
1050737.0,280
1050742.0,280
1050748.0,280
1050755.0,560
1050777.0,840
1050818.0,525
1050862.0,1505
1050882.0,770
1050888.0,280
1050900.0,280
1050954.0,1610
1050977.0,770
1051002.0,980
1051005.0,700
1051007.0,280
1051038.0,350
1051039.0,1505
1051042.0,385
1051075.0,1610
1051077.0,280
1051085.0,945
1051112.0,805
1051116.0,280
1051128.0,840
1051140.0,770
1051165.0,210
1051172.0,980
1051191.0,280
1051199.0,1190
1051200.0,840
1051203.0,455
1051205.0,1330
1051209.0,280
1051225.0,280
1051231.0,455
1051252.0,1085
1051255.0,1050
1051262.0,1120
1051266.0,840
1051293.0,280
1051295.0,280
1073482.0,70
1143270.0,945
1312029.0,1050
1492898.0,1260
1501339.0,630
1502430.0,140
1507181.0,1890
1513537.0,875
1529561.0,1260
1538697.0,3150
1538706.0,630
1538748.0,945
1543642.0,525
1544442.0,280
1544720.0,2170
1544781.0,945
1544858.0,1680
1544861.0,1820
1544869.0,1085
1546413.0,315
1546440.0,1785
1546543.0,1050
1546558.0,315
1546571.0,945
1546616.0,2345
1546704.0,630
1546712.0,315
1546754.0,35
1546804.0,2310
1546836.0,630
1546845.0,2065
1546895.0,315
1546908.0,1260
1555528.0,1120
1555543.0,385
1555576.0,700
1555609.0,735
1556986.0,630
1556989.0,875
1557018.0,1260
1557102.0,315
1557107.0,1085
1557255.0,4095
1557275.0,665
1653025.0,1190
1653028.0,245
1653127.0,770
1653137.0,1400
1653307.0,630
1653334.0,490
1653356.0,280
1653406.0,700
1653497.0,280
1653533.0,455
1653767.0,560
1653798.0,455
1653859.0,2065
1653981.0,525
1654016.0,525
1654060.0,455
1654061.0,1820
1654098.0,1575
1654163.0,315
1654164.0,455
1654174.0,1855
1654189.0,630
1654199.0,1785
1654249.0,315
1654269.0,315
1654451.0,385
1654534.0,245
1654541.0,315
1654720.0,280
1654740.0,2345
1654860.0,735
1654873.0,1365
1654917.0,490
1654956.0,2065
1654983.0,2205
1654990.0,875
1655030.0,630
1655082.0,1750
1655089.0,1540
1655258.0,1190
1655365.0,2030
1655412.0,315
1655493.0,350
1655524.0,840
1655528.0,630
1655632.0,315
1655681.0,315
1655702.0,1155
1655704.0,945
1655721.0,280
1655734.0,315
1655753.0,945
1655775.0,1470
1655856.0,1295
1655884.0,315
1655894.0,2135
1655902.0,1085
1655916.0,945
1655923.0,315
1655954.0,665
1656094.0,350
1656124.0,2030
1656176.0,1260
1656256.0,840
1656257.0,455
1656393.0,455
1656409.0,630
1656412.0,420
1656462.0,1925
1656554.0,840
1656689.0,385
1656815.0,175
1656827.0,945
1656857.0,630
1657033.0,630
1657036.0,2800
1657110.0,315
1657211.0,315
1657236.0,595
1657289.0,280
1657332.0,525
1657529.0,280
1657551.0,770
1657602.0,1190
1657605.0,700
1657659.0,455
1657661.0,525
1657755.0,1645
1657765.0,350
1657798.0,420
1657844.0,420
1657924.0,1225
1657950.0,1225
1657962.0,945
1657975.0,315
1658008.0,1190
1658152.0,980
1658282.0,455
1658289.0,245
1658293.0,1435
1658333.0,1575
1658345.0,280
1658553.0,1680
1658680.0,630
1658757.0,1575
1658845.0,1295
1658849.0,770
1658946.0,595
1658962.0,945
1658978.0,630
1659123.0,315
1659131.0,770
1659267.0,1225
1659271.0,315
1659363.0,315
1659389.0,630
1659466.0,2100
1659583.0,630
1659584.0,490
1659595.0,280
1659623.0,420
1659631.0,1015
1659670.0,1960
1659724.0,910
1659866.0,525
1660041.0,1260
1660047.0,315
1660049.0,420
1660061.0,1785
1660068.0,945
1660078.0,1470
1660133.0,525
1660155.0,945
1660182.0,315
1660214.0,875
1660280.0,315
1660342.0,1260
1660455.0,1820
1660469.0,910
1660526.0,770
1660605.0,315
1660606.0,875
1660613.0,1435
1660747.0,945
1660757.0,700
1660787.0,805
1660811.0,315
1660814.0,280
1660830.0,1645
1660933.0,1085
1660982.0,875
1660994.0,1365
1661050.0,1260
1661173.0,630
1661243.0,770
1661292.0,560
1661296.0,700
1661348.0,385
1661393.0,420
1661412.0,630
1661421.0,770
1661606.0,1505
1661608.0,1820
1661639.0,280
1661681.0,630
1661710.0,455
1661719.0,945
1661729.0,945
1661822.0,1575
1661895.0,875
1662022.0,1470
1662043.0,630
1662072.0,560
1662207.0,245
1662236.0,1190
1662400.0,245
1662412.0,1470
1662421.0,1400
1662437.0,1260
1662440.0,2205
1662508.0,840
1662570.0,945
1662590.0,1190
1662673.0,1435
1662685.0,945
1662746.0,315
1662838.0,315
1662915.0,630
1662920.0,1050
1663014.0,1260
1663016.0,770
1663075.0,875
1663162.0,525
1663168.0,840
1663196.0,1085
1663270.0,630
1663281.0,910
1663353.0,315
1663374.0,1575
1663447.0,1365
1663530.0,560
1663622.0,1260
1663644.0,315
1663704.0,315
1663776.0,945
1663800.0,630
1663840.0,1575
1663846.0,2765
1663865.0,315
1663902.0,945
1663913.0,1050
1664082.0,315
1664132.0,560
1664228.0,875
1664230.0,350
1664254.0,1015
1664277.0,315
1664302.0,490
1664429.0,875
1664440.0,3325
1664474.0,1015
1664489.0,560
1664498.0,630
1664539.0,1015
1664623.0,560
1664633.0,805
1664804.0,1435
1664821.0,1715
1664829.0,2205
1664856.0,1820
1664904.0,665
1664968.0,770
1665002.0,315
1665010.0,630
1665016.0,3640
1665151.0,910
1665197.0,980
1665205.0,315
1665253.0,315
1665428.0,945
1665506.0,35
1665634.0,1085
1665703.0,280
